qid,correct,wrong,prediction,gt_label
20,1.0,0,"['ulrich_thomsen', 'line_kruse', 'nikolaj_lie_kaas', 'mads_mikkelsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'hal_hartley', 'jeffrey_friedman', 'rob_epstein']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1956', '1958']","['1956', '1958']"
80,1.0,0,"['françois_girard', 'john_maybury', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9999999999999998,0,"['1986', '2002', '2008', '2007', '2005', '1999', '2000', '2009', '2011', '2004', '2006', '2001', '2003']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['comedy', 'action', 'drama', 'horror']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0,0.08163265306122448,"['braveheart', 'the_man_without_a_face', 'the_passion_of_the_christ', 'apocalypto']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['ken_shapiro', 'colin_higgins', 'harold_ramis', 'stephen_herek', 'michael_ritchie', 'john_carpenter', 'peter_hewitt', 'william_friedkin', 'john_landis', 'jay_sandrich', 'george_roy_hill', 'stephen_kessler']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1955', '1954']","['1955', '1954']"
200,0.9999999999999999,0,"['brigitte_bardot', 'rebecca_de_mornay', 'jane_fonda', 'alain_delon', 'terence_stamp', 'vincent_spano']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['thriller', 'horror', 'action', 'drama', 'adventure', 'crime']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,0,0.41666666666666663,Error,"['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['herbert_lom', 'alec_guinness', 'marlon_wayans', 'martin_milner', 'joan_greenwood', 'irma_p._hall', 'peter_sellers', 'tony_curtis', 'burt_lancaster', 'susan_harrison', 'claudia_cardinale', 'tom_hanks', 'cecil_parker']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['bernie_coulson', 'georgina_reilly', 'bruce_mcdonald', 'ellen_page', 'callum_keith_rennie', 'greg_calderone', 'hugh_dillon']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['silvio_soldini', 'maria_sole_tognazzi', 'carlo_verdone']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['michael_wadleigh', 'carol_sobieski', 'john_august', 'ronald_harwood', 'will_gluck', 'shane_connaughton', 'frederic_raphael', 'josephine_humphreys', 'peter_mayle', 'guy_gallo', 'alan_sillitoe', 'kelly_masterson', 'terence_rattigan', 'whitley_strieber', 'neville_smith', 'charles_dickens', 'harold_gray', 'thomas_meehan', 'leslie_bricusse', 'malcolm_lowry', 'michael_crichton', 'bo_goldman', 'daniel_wallace']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['comedy', 'music', 'drama', 'adventure', 'biography', 'mystery', 'crime']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0,0.20833333333333331,Error,"['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,1.0,0,"['1994', '2007', '2003', '2000', '1998', '2009', '1955', '2004', '2006', '2001', '2008', '2013']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1936', '1991', '2002', '1983', '2007', '1999', '1992', '1995', '1972', '1920', '1977', '2009', '1960', '1981', '2006', '1979', '2001']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['jason_biggs', 'thomas_ian_nicholas', 'nicholas_hoult', 'hugh_grant', 'alyson_hannigan', 'chris_klein']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['action', 'crime', 'drama']","['Action', 'Drama', 'Crime']"
