qid,prediction,gt_label
WebQTest-31,['Dunblane'],[None]
WebQTest-54,['Nazi Germany'],['Nazi Germany']
WebQTest-76,"['La belle ferronnière', 'Lady with an Ermine', 'Mona Lisa', 'The Last Supper', 'Madonna of the Yarnwinder', 'The Baptism of Christ', 'Portrait of a man in red chalk', 'Vitruvian Man', 'Leda and the Swan', 'Drapery for a Seated Figure', 'Virgin of the Rocks', 'St. Jerome in the Wilderness', 'g.12215rxg', 'Benois Madonna', 'Head of a Woman', 'Portrait of a Musician', 'g.1239jd9p', 'Madonna and Child with St Joseph', ""Ginevra de' Benci"", 'g.1219sb0g', 'g.12314dm1', 'The Holy Infants Embracing', 'The Virgin and Child with St. Anne', 'Lucan portrait of Leonardo da Vinci', 'g.121yh91r', 'The Battle of Anghiari', 'Madonna Litta', 'Annunciation', ""Leonardo's horse"", 'Adoration of the Magi', 'Sala delle Asse', ""Portrait of Isabella d'Este"", 'Medusa', 'g.1213jb_b', 'Madonna of the Carnation', 'Bacchus', 'Madonna of Laroque', 'The Virgin and Child with St Anne and St John the Baptist', 'Horse and Rider', 'g.120vt1gz', 'Virgin of the Rocks', 'St. John the Baptist', 'g.121wt37c', 'Salvator Mundi', 'Portrait of a Young Fiancée', 'g.1224tf0c']","[""Portrait of Isabella d'Este"", '', '', 'Madonna and Child with St Joseph', '', '', '', '', '', '', '', 'Virgin of the Rocks', 'Horse and Rider', 'Sala delle Asse', 'Medusa', 'The Holy Infants Embracing', 'Vitruvian Man', 'St. Jerome in the Wilderness', 'Madonna of the Carnation', ""Ginevra de' Benci"", 'Virgin of the Rocks', 'La belle ferronnière', 'The Virgin and Child with St. Anne', 'Benois Madonna', 'Annunciation', 'Lady with an Ermine', 'Madonna Litta', ""Leonardo's horse"", 'Adoration of the Magi', 'Bacchus', 'Portrait of a Musician', 'The Virgin and Child with St Anne and St John the Baptist', 'St. John the Baptist', 'Madonna of the Yarnwinder', 'Portrait of a Young Fiancée', 'The Baptism of Christ', 'Drapery for a Seated Figure', 'Portrait of a man in red chalk', 'Madonna of Laroque', 'The Battle of Anghiari', 'Lucan portrait of Leonardo da Vinci', 'Head of a Woman', 'Salvator Mundi', 'Leda and the Swan', 'Mona Lisa', 'The Last Supper']"
WebQTest-98,['Lyndon B. Johnson'],['Lyndon B. Johnson']
WebQTest-122,['Salamanca'],['Salamanca']
WebQTest-150,"['Lucumi Language', 'Haitian Creole', 'Spanish Language']","['Haitian Creole', 'Lucumi Language', 'Spanish Language']"
WebQTest-173,"['Estonia', 'Latvia', 'Lithuania']","['Estonia', 'Latvia', 'Lithuania']"
WebQTest-195,"['Rickenbacker 360/12', 'Fender Stratocaster']","['Fender Stratocaster', 'Rickenbacker 360/12']"
WebQTest-218,['Europe'],['Europe']
WebQTest-246,"['Remote control', 'Tesla coil', 'Alternating current', 'Neon lamp', 'Three-phase electric power', 'Induction motor', 'Wireless telegraphy']","['Neon lamp', 'Induction motor', 'Wireless telegraphy', 'Three-phase electric power', 'Tesla coil', 'Alternating current', 'Remote control']"
WebQTest-268,['2003'],['2003–04 NBA season']
WebQTest-298,Error,"['1983 World Series', '1970 World Series', '1966 World Series']"
WebQTest-323,"['The Dark Tower', 'Far and Away', 'Willow', 'Night Shift', 'Cotton Candy', 'Rush', 'Presidential Reunion', 'The Dilemma', 'Jay-Z: Made in America', 'Parenthood', 'The Paper', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'The Missing', 'A Beautiful Mind', 'The Lost Symbol', 'EDtv', 'Splash', 'Gung Ho', 'Cinderella Man', 'Cocoon', 'Frost/Nixon', 'Backdraft', 'Inferno', 'Apollo 13', 'Grand Theft Auto', 'In the Heart of the Sea', 'Ransom', 'The Da Vinci Code']","['Apollo 13', 'Inferno', 'Willow', 'Splash', 'EDtv', 'Night Shift', 'Backdraft', 'Frost/Nixon', 'Grand Theft Auto', 'Far and Away', 'Cocoon', 'Ransom', 'Parenthood', 'The Missing', 'Cinderella Man', 'The Dark Tower', 'The Da Vinci Code', 'The Paper', 'Cotton Candy', 'Gung Ho', 'A Beautiful Mind', 'The Dilemma', 'The Lost Symbol', ""Dr. Seuss' How the Grinch Stole Christmas"", 'Angels & Demons', 'Presidential Reunion', 'Rush', 'Jay-Z: Made in America', 'In the Heart of the Sea']"
WebQTest-349,"['Chicago Bulls', 'Los Angeles Lakers']","['Cleveland Cavaliers', 'Utah Jazz']"
WebQTest-380,"['Skamania County', 'Washington']","['North America', 'Washington', 'United States of America', 'Cascade Range', 'Skamania County']"
WebQTest-403,['Turkish Language'],"['Turkish Language', 'Zaza language', 'Ladino Language', 'Kurdish languages', 'Arabic Language']"
WebQTest-428,"['Indiana', 'Iowa', 'Illinois', 'Missouri', 'North Dakota', 'Kansas', 'Michigan', 'South Dakota', 'Ohio', 'Wisconsin', 'Nebraska', 'Minnesota']","['Avenue of the Saints', 'West North Central States', 'East North Central States', 'Iowa', 'Illinois', 'Indiana', 'Kansas', 'Michigan', 'Missouri', 'Minnesota', 'Nebraska', 'North Dakota', 'Ohio', 'South Dakota', 'Wisconsin', 'Council Grove']"
WebQTest-453,"['Limonese Creole', 'Jamaican Creole English Language', 'Spanish Language', 'Bribri Language']","['Bribri Language', 'Jamaican Creole English Language', 'Limonese Creole', 'Spanish Language']"
WebQTest-479,['University of Oklahoma'],['University of Oklahoma']
WebQTest-509,"['Presidential system', 'Federal republic']","['Presidential system', 'Federal republic']"
WebQTest-532,['Football'],['Football']
WebQTest-559,"['Piano', 'Violin']","['Piano', 'Violin']"
WebQTest-585,['England'],['England']
WebQTest-612,['Carolina Panthers'],['Carolina Panthers']
WebQTest-635,Error,"['Kenny McCormick', 'Kyle Broflovski', 'Wizard of Oz', 'Terrance Henry Stoot', 'Gerald Broflovski', 'Bill Gates', 'Ethan Hawke', 'Chris', 'George Clooney', 'Danny Glover', 'Jimbo Kearn', 'Saddam Hussein', 'James Humphries', 'Former Columbine Student', 'Doug Remer', 'Hermaphrodite', 'Taper Guy', 'Kyle / Kenny / Jesus', 'Dave the Lighting Guy', 'Man toasting drinks at MCA outdoor bar', 'Ticket Taker']"
WebQTest-657,['National Civil Rights Museum'],['Memphis']
WebQTest-680,"['Manchester City F.C.', 'Atlético Madrid', 'Club Atlético Independiente', 'Argentina national football team']","['Manchester City F.C.', 'Argentina national football team', 'Club Atlético Independiente', 'Atlético Madrid']"
WebQTest-704,"['Thor Heyerdahl is an Academic, who is also a Cinematographer, Film director, Scientist, Adventurer, Film Producer, and Ethnographer.']","['Film Producer', 'Adventurer', 'Film director', 'Ethnographer', 'Scientist', 'Cinematographer']"
WebQTest-728,Error,"['Nancy Pelosi', 'John Boehner']"
WebQTest-752,['Coca-Cola'],['Coca-Cola']
WebQTest-775,Error,"['Imperial War Museum North', 'Urbis', 'Old Trafford', 'Whitworth Art Gallery', 'Manchester Art Gallery', 'Manchester Museum', 'Manchester Jewish Museum', 'Great Manchester Run', 'Chinatown, Manchester', 'Manchester Cathedral', 'The Moon Under Water, Manchester', 'Wheel of Manchester', 'Albert Hall, Manchester']"
WebQTest-800,Error,['World War II']
WebQTest-830,"['Reading', 'Wyomissing']",['Reading']
WebQTest-857,Error,"['Georgia', 'Alabama']"
