qid,correct,wrong,prediction,gt_label
20,1.0,0,"['line_kruse', 'nikolaj_lie_kaas', 'mads_mikkelsen', 'ulrich_thomsen']","['Mads Mikkelsen', 'Ulrich Thomsen', 'Line Kruse', 'Nikolaj Lie Kaas']"
40,1.0,0,"['todd_field', 'rob_epstein', 'hal_hartley', 'jeffrey_friedman']","['Jeffrey Friedman', 'Rob Epstein', 'Todd Field', 'Hal Hartley']"
60,1.0,0,"['1958', '1956']","['1956', '1958']"
80,1.0,0,"['john_maybury', 'françois_girard', 'fernando_meirelles']","['John Maybury', 'François Girard', 'Fernando Meirelles']"
100,0.9230769230769229,0,"['2005', '2003', '2002', '1999', '2007', '2000', '2008', '2001', '2009', '1986', '2004', '2006']","['1986', '1999', '2002', '2003', '2000', '2001', '2006', '2007', '2004', '2005', '2008', '2009', '2011']"
120,1.0,0,"['horror', 'action', 'drama', 'comedy']","['Action', 'Drama', 'Horror', 'Comedy']"
140,0.24489795918367344,0,"['barry_levinson', 'sean_penn', 'mel_gibson', 'luis_mandoki', 'pen_densham', 'jeff_stanzler', 'anthony_minghella', 'robert_redford', 'gillies_mackinnon', 'graham_baker', 'phil_joanou', 'robert_zemeckis']","['Michael Almereyda', 'Adrian Grunberg', 'Roland Emmerich', 'Gillies MacKinnon', 'George Ogilvie', 'Peter Weir', 'John Badham', 'Tim Burstall', 'Sean Penn', 'Wim Wenders', 'Richard Donner', 'Roger Spottiswoode', 'Dean Semler', 'Barry Levinson', 'Jodie Foster', 'Mark Rydell', 'Jean Renoir', 'M. Night Shyamalan', 'Nick Cassavetes', 'Brian Helgeland', 'Tony Richardson', 'Nick Park', 'Luis Mandoki', 'Steve Miner', 'Robert Zemeckis', 'Gillian Armstrong', 'Franco Zeffirelli', 'Laurence Olivier', 'Ron Howard', 'John Gielgud', 'Pen Densham', 'Anthony Minghella', 'Peter Lord', 'Nancy Meyers', 'Lewis Milestone', 'Randall Wallace', 'Robert Rodriguez', 'Robert Towne', 'Jarmo Lampela', 'Martin Campbell', 'George Miller', 'Jeff Stanzler', 'Graham Baker', 'Robert Redford', 'Mel Gibson', 'Grigori Kozintsev', 'Roger Donaldson', 'Kenneth Branagh', 'Phil Joanou']"
160,1.0,0,"['michael_ritchie', 'john_landis', 'peter_hewitt', 'william_friedkin', 'john_carpenter', 'stephen_herek', 'colin_higgins', 'harold_ramis', 'jay_sandrich', 'george_roy_hill', 'ken_shapiro', 'stephen_kessler']","['Jay Sandrich', 'Peter Hewitt', 'Michael Ritchie', 'John Landis', 'William Friedkin', 'Stephen Herek', 'Ken Shapiro', 'Harold Ramis', 'George Roy Hill', 'Stephen Kessler', 'John Carpenter', 'Colin Higgins']"
180,1.0,0,"['1954', '1955']","['1955', '1954']"
200,0.9999999999999999,0,"['vincent_spano', 'brigitte_bardot', 'terence_stamp', 'jane_fonda', 'rebecca_de_mornay', 'alain_delon']","['Brigitte Bardot', 'Jane Fonda', 'Vincent Spano', 'Terence Stamp', 'Rebecca De Mornay', 'Alain Delon']"
220,0.9999999999999999,0,"['crime', 'horror', 'adventure', 'thriller', 'action', 'drama']","['Horror', 'Crime', 'Drama', 'Adventure', 'Action', 'Thriller']"
240,1.0,0,"['crime', 'horror', 'fantasy', 'western', 'adventure', 'thriller', 'war', 'mystery', 'action', 'romance', 'drama', 'comedy']","['Mystery', 'Romance', 'Horror', 'Crime', 'Drama', 'Fantasy', 'Western', 'Action', 'Comedy', 'War', 'Thriller', 'Adventure']"
260,0.9999999999999998,0,"['irma_p._hall', 'cecil_parker', 'claudia_cardinale', 'peter_sellers', 'joan_greenwood', 'susan_harrison', 'tom_hanks', 'martin_milner', 'marlon_wayans', 'burt_lancaster', 'alec_guinness', 'tony_curtis', 'herbert_lom']","['Marlon Wayans', 'Herbert Lom', 'Joan Greenwood', 'Cecil Parker', 'Tom Hanks', 'Claudia Cardinale', 'Susan Harrison', 'Irma P. Hall', 'Burt Lancaster', 'Peter Sellers', 'Alec Guinness', 'Tony Curtis', 'Martin Milner']"
280,1.0,0,['chris_rock'],['Chris Rock']
300,0.9999999999999998,0,"['hugh_dillon', 'georgina_reilly', 'ellen_page', 'bernie_coulson', 'callum_keith_rennie', 'greg_calderone', 'bruce_mcdonald']","['Ellen Page', 'Bernie Coulson', 'Bruce McDonald', 'Greg Calderone', 'Callum Keith Rennie', 'Hugh Dillon', 'Georgina Reilly']"
320,1.0,0,"['silvio_soldini', 'carlo_verdone', 'maria_sole_tognazzi']","['Maria Sole Tognazzi', 'Silvio Soldini', 'Carlo Verdone']"
340,0.9999999999999996,0,"['frederic_raphael', 'peter_mayle', 'daniel_wallace', 'shane_connaughton', 'whitley_strieber', 'michael_crichton', 'carol_sobieski', 'bo_goldman', 'guy_gallo', 'ronald_harwood', 'leslie_bricusse', 'alan_sillitoe', 'josephine_humphreys', 'malcolm_lowry', 'neville_smith', 'terence_rattigan', 'michael_wadleigh', 'john_august', 'thomas_meehan', 'charles_dickens', 'harold_gray', 'will_gluck', 'kelly_masterson']","['Leslie Bricusse', 'Neville Smith', 'Will Gluck', 'Whitley Strieber', 'Michael Wadleigh', 'Shane Connaughton', 'Thomas Meehan', 'Kelly Masterson', 'Malcolm Lowry', 'Guy Gallo', 'Josephine Humphreys', 'Ronald Harwood', 'Terence Rattigan', 'Carol Sobieski', 'John August', 'Harold Gray', 'Peter Mayle', 'Alan Sillitoe', 'Michael Crichton', 'Bo Goldman', 'Charles Dickens', 'Frederic Raphael', 'Daniel Wallace']"
360,0.9999999999999998,0,"['crime', 'biography', 'adventure', 'music', 'mystery', 'drama', 'comedy']","['Mystery', 'Crime', 'Drama', 'Music', 'Adventure', 'Comedy', 'Biography']"
380,1.0,0,"['2010', '2004']","['2010', '2004']"
400,0.9999999999999996,0,"['2002', '2009', '1985', '1986', '1973', '1999', '2000', '1984', '1983', '2007', '1994', '2011', '1989', '1971', '1991', '1997', '2006', '1977', '1996', '1982', '1992', '1953', '1987', '2004']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,0.8333333333333334,0,"['2003', '2000', '2013', '2008', '2009', '2004', '1998', '2007', '1994', '1955']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,1.0,0,"['1995', '2002', '1981', '1977', '1999', '1972', '1992', '2007', '1979', '1991', '2001', '1936', '1983', '2009', '1920', '1960', '2006']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,0.9999999999999999,0,"['nicholas_hoult', 'jason_biggs', 'hugh_grant', 'chris_klein', 'thomas_ian_nicholas', 'alyson_hannigan']","['Chris Klein', 'Hugh Grant', 'Nicholas Hoult', 'Jason Biggs', 'Alyson Hannigan', 'Thomas Ian Nicholas']"
480,1.0,0,"['crime', 'action', 'drama']","['Action', 'Drama', 'Crime']"
500,0,0,[],"['Don Mankiewicz', 'Thomas T. Flynn', 'Horace McCoy', 'Baynard Kendrick', 'Philip Yordan', 'Sinclair Lewis', 'David Dortort', 'Robert Buckner', 'Frank Burt', 'Claude Stanush', 'Richard Brooks', 'Alf Sjöberg', 'Pär Lagerkvist']"
520,0.9999999999999998,0,"['victor_fleming', 'lewis_milestone', 'david_s._ward', 'emilio_fernández', 'elia_kazan', 'gary_sinise', 'john_ford']","['Elia Kazan', 'David S. Ward', 'Gary Sinise', 'Victor Fleming', 'Emilio Fernández', 'Lewis Milestone', 'John Ford']"
540,1.0,0,"['documentary', 'horror', 'western', 'action', 'comedy']","['Action', 'Horror', 'Comedy', 'Documentary', 'Western']"
560,0.6470588235294118,2.0,"['tobey_maguire', 'ted_levine', 'jeremy_northam', 'steven_kaplan', 'matthew_mcconaughey', 'til_schweiger', 'sam_rockwell', 'christian_slater', 'colm_feore', 'will_smith', 'selma_blair', 'david_paymer', 'alia_shawkat', 'joan_allen', 'keke_palmer', 'david_morrissey', 'robert_loggia', 'kelly_reilly', 'cheryl_hines', 'joe_mantegna', 'rebecca_pidgeon', 'tim_allen', 'william_h._macy', 'john_ritter', 'ally_walker', 'michael_sheen', 'reese_witherspoon', 'peter_stormare', 'donald_sutherland', 'laura_dern', 'neve_campbell', 'debra_eisenstadt', 'margot_robbie', 'ryan_phillippe', 'marisa_tomei', 'ned_beatty', 'martin_lawrence', 'meg_ryan', 'ben_stiller', 'john_travolta', 'meat_loaf', 'steve_zahn', 'steve_buscemi', 'don_rickles', 'hank_azaria']","['William H. Macy', 'Christopher Reeve', 'Michael Sheen', 'Joan Crawford', 'Colm Feore', 'Ned Beatty', 'Robert Loggia', 'Don Rickles', 'Edward Kerr', 'Meg Ryan', 'Selma Blair', 'David Morrissey', 'Keke Palmer', 'Fred MacMurray', 'Kim Cattrall', 'Billy Crudup', 'Christian Slater']"
580,1.0,0,"['1993', '2010']","['1993', '2010']"
600,1.0,0,"['crime', 'war', 'history', 'action', 'drama']","['Drama', 'Action', 'Crime', 'War', 'History']"
620,1.0,0,['2002'],['2002']
640,1.0,0,"['horror', 'biography', 'romance', 'drama', 'comedy']","['Drama', 'Romance', 'Horror', 'Comedy', 'Biography']"
660,0.9999999999999999,0,"['christian_marquand', 'tony_richardson', 'neil_armfield', 'robert_altman', 'dennis_hopper', 'joseph_mcgrath']","['Tony Richardson', 'Robert Altman', 'Neil Armfield', 'Dennis Hopper', 'Joseph McGrath', 'Christian Marquand']"
680,1.0,0,"['crime', 'thriller', 'action', 'drama', 'comedy']","['Action', 'Drama', 'Comedy', 'Thriller', 'Crime']"
