3998,5,0,0,c
4000,5,0,0,c
4367,5,0,0,c
4501,5,0,0,c
4645,5,0,0,c
4891,5,0,0,c
4971,5,0,0,c
4999,5,0,0,c
5124,5,0,0,c
5155,4,0,1,c
5273,4,0,1,c
5319,5,0,0,c
5325,3,0,2,c
5327,5,0,0,c
5422,5,0,0,c
5589,2,3,0,w
5663,5,0,0,c
5788,3,1,1,c
5825,5,0,0,c
5913,4,1,0,c
5924,3,0,2,c
5944,5,0,0,c
5946,5,0,0,c
6360,5,0,0,c
6417,3,0,2,c
6432,5,0,0,c
6434,5,0,0,c
6438,4,0,1,c
6440,4,0,1,c
6514,1,0,4,a
6697,5,0,0,c
6771,5,0,0,c
6803,5,0,0,c
6811,4,1,0,c
6815,4,0,1,c
6848,5,0,0,c
6857,5,0,0,c
6928,1,0,4,a
6988,5,0,0,c
6992,5,0,0,c
7055,4,0,1,c
10143,5,0,0,c
10206,3,1,1,c
11925,5,0,0,c
11962,5,0,0,c
12784,3,2,0,c
12787,5,0,0,c
12799,5,0,0,c
12803,4,1,0,c
12807,4,0,1,c
12817,4,0,1,c
12868,5,0,0,c
12892,3,0,2,c
12895,2,0,3,a
12901,5,0,0,c
12926,5,0,0,c
12942,5,0,0,c
12972,5,0,0,c
12989,5,0,0,c
4368,2,3,0,w
4510,0,3,2,w
4939,1,4,0,w
4957,4,1,0,c
5156,0,3,2,w
5165,0,5,0,w
5220,3,1,1,c
5244,0,5,0,w
5341,3,2,0,c
5540,0,4,1,w
5593,2,3,0,w
5740,4,1,0,c
6353,3,2,0,c
6563,0,5,0,w
6914,3,1,1,c
11786,0,5,0,w
11869,1,4,0,w
11897,3,2,0,c
11968,3,2,0,c
12741,0,5,0,w
12815,3,2,0,c
12924,0,5,0,w
4171,3,0,2,c
4185,0,1,4,a
5052,0,0,5,a
5186,0,0,5,a
5251,1,0,4,a
5374,1,0,4,a
5385,3,1,1,c
5485,2,0,3,a
6378,3,0,2,c
6485,3,0,2,c
6666,4,0,1,c
6761,4,0,1,c
6842,1,0,4,a
6960,1,0,4,a
6985,3,0,2,c
7062,4,0,1,c
10182,3,0,2,c
12733,3,0,2,c
12938,2,1,2,a
