3998,5,0,0,c
4000,5,0,0,c
4368,3,2,0,c
4501,5,0,0,c
4645,4,0,1,c
4891,4,0,1,c
4939,3,2,0,c
4957,5,0,0,c
4971,5,0,0,c
4999,5,0,0,c
5273,5,0,0,c
5319,5,0,0,c
5327,5,0,0,c
5385,5,0,0,c
5422,5,0,0,c
5663,5,0,0,c
5788,2,1,2,a
5913,3,1,1,c
5944,5,0,0,c
5946,5,0,0,c
6417,3,0,2,c
6432,4,0,1,c
6434,5,0,0,c
6440,4,0,1,c
6485,5,0,0,c
6514,2,0,3,a
6666,5,0,0,c
6697,5,0,0,c
6771,5,0,0,c
6803,5,0,0,c
6815,4,0,1,c
6857,5,0,0,c
6914,3,0,2,c
6928,1,0,4,a
6960,2,0,3,a
6985,5,0,0,c
6992,5,0,0,c
10143,4,0,1,c
11897,3,2,0,c
11925,4,1,0,c
11962,5,0,0,c
11968,4,1,0,c
12733,4,0,1,c
12787,5,0,0,c
12799,5,0,0,c
12807,3,0,2,c
12815,4,1,0,c
12817,4,0,1,c
12868,5,0,0,c
12892,4,0,1,c
12895,3,0,2,c
12901,5,0,0,c
12926,5,0,0,c
12938,4,0,1,c
12942,5,0,0,c
12972,5,0,0,c
12989,5,0,0,c
4367,4,1,0,c
5156,0,3,2,w
5165,0,5,0,w
5244,0,5,0,w
5825,4,1,0,c
6563,0,5,0,w
11786,0,5,0,w
11869,2,3,0,w
12741,0,5,0,w
12784,1,3,1,w
12924,0,5,0,w
4171,2,0,3,a
4185,0,1,4,a
4510,0,2,3,a
5052,0,0,5,a
5124,3,0,2,c
5155,2,1,2,a
5186,0,0,5,a
5220,3,0,2,c
5251,0,0,5,a
5325,2,0,3,a
5341,2,1,2,a
5374,1,0,4,a
5485,1,0,4,a
5540,0,2,3,a
5589,1,2,2,a
5593,2,2,1,a
5740,3,0,2,c
5924,1,1,3,a
6353,4,0,1,c
6360,4,0,1,c
6378,2,0,3,a
6438,2,0,3,a
6761,3,1,1,c
6811,3,1,1,c
6842,1,0,4,a
6848,4,0,1,c
6988,4,0,1,c
7055,2,0,3,a
7062,3,0,2,c
10182,2,0,3,a
10206,2,1,2,a
12803,2,2,1,a
